Title,URL,Address,Compensation,Employment Type,Description
Project Architect,https://newyork.craigslist.org/que/egr/d/floral-park-project-architect/7059709686.html,Queens,,,
Project Manager/ Drafter,https://newyork.craigslist.org/brx/egr/d/bronx-project-manager-drafter/7059667375.html,,,,
Electrical Estimator,https://newyork.craigslist.org/stn/egr/d/staten-island-electrical-estimator/7059611716.html,NYC,,,
Architectural Services_NYC DOB Commercial Filing set,https://newyork.craigslist.org/mnh/egr/d/new-york-architectural-servicesnyc-dob/7059580986.html,Midtown,,,
Architect-Construction Administration-Revit | Multi Family Residential,https://newyork.craigslist.org/mnh/egr/d/new-york-architect-construction/7059565287.html,Downtown,,,
Project Architect(s),https://newyork.craigslist.org/que/egr/d/project-architects/7059531617.html,"Jamaica, Queens",,,
Junior Architect/ Intern,https://newyork.craigslist.org/mnh/egr/d/new-york-junior-architect-intern/7059436981.html,Lower East Side,,,
Midsize Architectural firm seeks Graduates,https://newyork.craigslist.org/que/egr/d/flushing-midsize-architectural-firm/7059372984.html,Flushing,,,
Millwork Engineer / CNC Programmer,https://newyork.craigslist.org/brk/egr/d/brooklyn-millwork-engineer-cnc/7059316143.html,Brooklyn,,,
Millwork Estimator,https://newyork.craigslist.org/brk/egr/d/brooklyn-millwork-estimator/7059296582.html,"Brooklyn, NY",,,
SPANISH SPEAKING NAIL STYLIST NEEDED  (MANICURES&PEDICURES),https://newyork.craigslist.org/mnh/egr/d/new-york-city-spanish-speaking-nail/7059197113.html,Inwood / Wash Hts,,,
Drafter/Estimator Experienced in steel fabrication,https://newyork.craigslist.org/que/egr/d/flushing-drafter-estimator-experienced/7058453556.html,college point queens,,,
Top Architectural Metal  + Glass Company looking for drafter/engineer!,https://newyork.craigslist.org/que/egr/d/woodside-top-architectural-metal-glass/7058321558.html,Woodside,,,
Construction Plans Estimator,https://newyork.craigslist.org/fct/egr/d/stamford-construction-plans-estimator/7058209698.html,Stamford,,,
Facade / Building Envelope Architect or Engineer,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-architect-or/7058077980.html,TriBeCa,,,
Facade / Building Envelope Project Manager,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-project-manager/7058072439.html,TriBeCa,,,
In-house Interior Designer,https://newyork.craigslist.org/mnh/egr/d/new-york-in-house-interior-designer/7058060220.html,Murray Hill,,,
Interior Designer,https://newyork.craigslist.org/mnh/egr/d/new-york-interior-designer/7058057923.html,Murray Hill,,,
High End Kitchen Designer,https://newyork.craigslist.org/mnh/egr/d/new-york-high-end-kitchen-designer/7058054892.html,Murray Hill,,,
Superintendent - Construction,https://newyork.craigslist.org/brk/egr/d/brooklyn-superintendent-construction/7058003819.html,Brooklyn,,,
Electrical Engineer,https://newyork.craigslist.org/mnh/egr/d/new-york-electrical-engineer/7057984592.html,Midtown West,,,
Engineer - Architect - Inspector,https://newyork.craigslist.org/mnh/egr/d/new-york-engineer-architect-inspector/7057976104.html,Midtown West,,,
"Architect, Intermediate",https://newyork.craigslist.org/mnh/egr/d/new-york-architect-intermediate/7057960292.html,New York and Brooklyn,,,
Construction Estimator,https://newyork.craigslist.org/que/egr/d/construction-estimator/7057938072.html,NYC,,,
General Contractor - Estimator Wanted Immediately,https://newyork.craigslist.org/stn/egr/d/staten-island-general-contractor/7057897320.html,Staten Island,,,
ARCHITECT Senior/ Intermediate,https://newyork.craigslist.org/que/egr/d/bayside-architect-senior-intermediate/7057881026.html,QUEENS,,,
Engineering/Architectural CAD Operator,https://newyork.craigslist.org/stn/egr/d/staten-island-engineering-architectural/7057870003.html,Staten Island,,,
Career Opportunities in Engineering for Immigrant Professionals,https://newyork.craigslist.org/mnh/egr/d/new-york-career-opportunities-in/7057792523.html,New York,,,
Architecture Project Manager,https://newyork.craigslist.org/brk/egr/d/brooklyn-architecture-project-manager/7057770577.html,"Williamsburg, Brooklyn",,,
Construction Project Manager / Project Manager / Const. Superintendent,https://newyork.craigslist.org/brk/egr/d/new-york-construction-project-manager/7057758260.html,Manhattan,,,
PROJECT MANAGER,https://newyork.craigslist.org/mnh/egr/d/new-york-project-manager/7057756761.html,NEW YORK,,,
Experienced Architect/Drafter,https://newyork.craigslist.org/brk/egr/d/brooklyn-experienced-architect-drafter/7057735724.html,Brooklyn,,,
Experienced Architect/Drafter,https://newyork.craigslist.org/brk/egr/d/brooklyn-experienced-architect-drafter/7057731846.html,Brooklyn,,,
AV Field Engineer,https://newyork.craigslist.org/mnh/egr/d/new-york-av-field-engineer/7057656189.html,,,,
AV Associate Engineer,https://newyork.craigslist.org/mnh/egr/d/new-york-av-associate-engineer/7057655582.html,,,,
Maintenance Technician,https://newyork.craigslist.org/brk/egr/d/brooklyn-maintenance-technician/7057250493.html,,,,
Drafters Needed,https://newyork.craigslist.org/que/egr/d/east-elmhurst-drafters-needed/7056803202.html,"Queens, NY",,,
Junior Architect/Draft person,https://newyork.craigslist.org/mnh/egr/d/new-york-junior-architect-draft-person/7056696382.html,New York,,,
Midtown Architecture Office searching for an Architecture Candidate,https://newyork.craigslist.org/mnh/egr/d/new-york-midtown-architecture-office/7056685398.html,Midtown,,,
Registered Architect - New Office in NY - High Rise Buildings,https://newyork.craigslist.org/mnh/egr/d/new-york-registered-architect-new/7056591833.html,New York City,,,
Architectural Junior/Senior Drafter,https://newyork.craigslist.org/lgi/egr/d/huntington-station-architectural-junior/7056532602.html,Huntington Station,,,
Architectural Senior Drafter/Job Captain,https://newyork.craigslist.org/mnh/egr/d/new-york-architectural-senior-drafter/7056525899.html,Midtown West,,,
Construction APM / Administrator Role,https://newyork.craigslist.org/brk/egr/d/brooklyn-construction-apm-administrator/7056106668.html,Brooklyn NY,,,
Draftsman/estimator/assistant project manager.,https://newyork.craigslist.org/que/egr/d/draftsman-estimator-assistant-project/7056086983.html,Ridgewood,,,
AutoCad Drafter - MEP Engineering,https://newyork.craigslist.org/brk/egr/d/brooklyn-autocad-drafter-mep-engineering/7056037024.html,Brooklyn,,,
Junior Architect/ Estimator,https://newyork.craigslist.org/que/egr/d/astoria-junior-architect-estimator/7055965972.html,"Astoria, Queens",,,
Project Architect Wanted in Industry City,https://newyork.craigslist.org/brk/egr/d/brooklyn-project-architect-wanted-in/7055908472.html,Brooklyn,,,
JUNIOR ENGINEER / ARCHITECT,https://newyork.craigslist.org/mnh/egr/d/new-york-junior-engineer-architect/7055826729.html,,,,
Assistant for busy CEO of high end prefab start up (Russian&English),https://newyork.craigslist.org/mnh/egr/d/new-york-assistant-for-busy-ceo-of-high/7055757186.html,Financial District,,,
Assistant Project Manager - Construction and Development,https://newyork.craigslist.org/mnh/egr/d/new-york-assistant-project-manager/7055529682.html,"New York, NY",,,
Architect -Full Time-Immediate Hire,https://newyork.craigslist.org/stn/egr/d/architect-full-time-immediate-hire/7055253240.html,Staten Island,,,
Project Architect(s),https://newyork.craigslist.org/que/egr/d/project-architects/7055199575.html,"Jamaica, Queens",,,
Project Coordinator/Manager,https://newyork.craigslist.org/brk/egr/d/brooklyn-project-coordinator-manager/7055188275.html,Brooklyn,,,
Drafting/Estimating Internship,https://newyork.craigslist.org/que/egr/d/long-island-city-drafting-estimating/7055165570.html,Long Island City,,,
MASTER  PLUMBER  - SIGN OFF -  ARCHITECT,https://newyork.craigslist.org/brk/egr/d/brooklyn-master-plumber-sign-off/7054672905.html,BROOKLY,,,
CAD Drafter,https://newyork.craigslist.org/brk/egr/d/brooklyn-cad-drafter/7054622360.html,"Brooklyn, NY",,,
Architects - Residential Experience,https://newyork.craigslist.org/mnh/egr/d/new-york-architects-residential/7054365796.html,New York,,,
Trainee Project Manager at High-End Glass Wall Company,https://newyork.craigslist.org/mnh/egr/d/new-york-trainee-project-manager-at/7053744607.html,Midtown,,,
Facade / Building Envelope Architect,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-architect/7053739977.html,TriBeCa,,,
Facade / Building Envelope Project Manager,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-project-manager/7053738995.html,TriBeCa,,,
Architect - Project Manager,https://newyork.craigslist.org/brk/egr/d/brooklyn-architect-project-manager/7053686621.html,brooklyn,,,
Freelance Architect,https://newyork.craigslist.org/fct/egr/d/mamaroneck-freelance-architect/7053676544.html,Mamaroneck,,,
Freelance Architect,https://newyork.craigslist.org/wch/egr/d/mamaroneck-freelance-architect/7053675609.html,Mamaroneck,,,
Millwork Draftsman Position,https://newyork.craigslist.org/brk/egr/d/woodhaven-millwork-draftsman-position/7053656758.html,,,,
Title,URL,Address,Compensation,Employment Type,Description
Licensed Home Inspector Needed - Fast Growing Co.,https://newyork.craigslist.org/brk/egr/d/licensed-home-inspector-needed-fast/7067448082.html,"Brooklyn, NY","$40,000 to $70,000 per year average plus 401K!",full-time,"
        
Join our Team as a Licensed Home Inspector!
2 years minimum Licensed Home Inspection experience needed. 
Must have strong building construction knowledge!!                                                    
A background Check is Required for Applicants!                                                                                                                             
Good Positive attitude is a must!                                          
Willingness to learn.
Lets get it done attitude!
Ability to communicate to clients and establish a good report.
Clean driving record with you own car
__________________________________________________________________________________________

WHAT CAN WE DO FOR YOU!!
* You no longer have to answer incoming calls to schedule calls to schedule appointments. We understand that booking home inspections in an attic can be a pain.
* You will never have to do your own marketing, we have a full time marketing representative to do that for you.
* We give you the systems that you will need to do an efficient and complete report.
**We allow you to do what you do best... Home Inspections !!!
***DO WHAT YOU DO BEST AND LET US TAKE CARE OF EVERYTHING ELSE!!!
_____________________________________________________________________________________
WHAT TO DO NEXT:
++Email a short note about why you'd be great for this position and attach resume. 



    "
Construction Project Manager,https://newyork.craigslist.org/wch/egr/d/pelham-construction-project-manager/7065400884.html,Pelham NY,Based on experience,full-time,"
        
Construction Project Manager-(Jr. Architect/Engineer are welcome)

-BA / BS Degree / Construction Trade School
-Min. 2 to 4 years field experience
-Experience in AIA documents
-Experience in managing all trades
-Experience in Project Scheduling
-Project Forms/Invoices/Purchase Orders/Contracts/Change Orders
-Experience in Tri State area
-Experience in project size from 10 million to 100 million
-Salary plus benefits base on experience

Email your cover letter and resume    "
Senior Field Engineer (Civil & Mechanical),https://newyork.craigslist.org/que/egr/d/astoria-senior-field-engineer-civil/7065411334.html,Astoria,Dependent Based on Skills and Experience,full-time,"
        
Tectonic is a multi-disciplined engineering firm that has been in business for over 30 years with a  reputation for delivering professional, quality services without sacrificing integrity or value. We are also one of only a few uniquely positioned consulting engineering firms that can provide our clients with a higher level of quality services by offering special inspections and in-house laboratory material testing services.

Tectonic is currently seeking qualified Civil and Mechanical Professional Engineers to perform various special inspections on behalf of one of the New York City metro area’s highly respected firms. 

ESSENTIAL FUNCTIONS

Essential functions of this position includes performing various special inspections of building for which the design requires professional engineers to ensure compliance with approved construction documented and referenced standards required by the NYC Construction Building Code. The Senior Field Engineer (Civil) will also perform additional special testing, including the subsurface investigation including soil borings, test pits, and soil percolation testing. The Mechanical Senior Field Engineer will perform the construction inspection of building mechanical systems, including HVAC, boilers, chillers, cooling towers, pumping system, and other related systems. This requires readings and interpreting various related documents and drawings, maintaining special inspection records, and preparing official field reports. The Senior Field Engineer may also perform various other inspections, as well as all other related duties as required. 

QUALIFICATIONS

•	Valid Professional Engineering License required, with the ability to acquire a NY PE License within a reasonable period of time;
•	BS Degree or equivalent in Civil Engineering, Mechanical Engineering, or similar; 
•	Must possess a minimum of 3 years of inspection experience, preferably in NYC;
•	Ability to complete required OSHA training within a reasonable time period;
•	Ability to prepare and submit timely and accurate field inspection reports;
•	Effective oral and written communication skills; 
•	Understanding of the fundamentals of building inspection codes and requirements in order to carry out testing, including, but not limited to, International Building Codes, ASTM Standards, and TMS standards; 
•	Diversified knowledge of technology, materials, equipment, design concepts and construction techniques;
•	Ability to solve complex issues with limited direction;
•	May also require valid, clean driver’s license and personal vehicle to travel to job sites.

COMPETITIVE SALARY & BENEFITS PACKAGE

In addition to providing competitive salaries, Tectonic offers a wide range of benefit options, including:

•	Comprehensive group medical insurance, including health, dental, vision and life
•	Opportunities for professional growth and advancement
•	Tuition reimbursement
•	Paid time off, including vacation, sick and personal
•	Company–observed paid holidays
•	Short and long-term disability coverage
•	Flexible spending accounts for medical expenses and dependent care
•	Commuter benefit plan for public transportation costs
•	401K retirement and profit sharing plan.

We are an equal opportunity/affirmative action employer, and highly encourage resumes from all interested parties including women, minorities, veterans and persons with disabilities. All qualified applicants will be afforded equal employment opportunities without discrimination on the basis of race, creed, color, national origin, sex, age, disability, marital status, or any other protected class.

Tectonic participates in the USCIS E-Verify Program to verify that all new hires are authorized to work in the United States.    "
Architect/Designer,https://newyork.craigslist.org/mnh/egr/d/new-york-city-architect-designer/7065417527.html,New York,Compensation commensurate with experience,full-time,"
        
We are an established and awarded small architectural firm located in Manhattan. Our projects cover public buildings and educational facilities. We are looking to hire talented individuals who have the potential and ambition for growth towards positions in office leadership.
Our office organization enables staff members a hands-on experience. Working on multiple projects and different phases of work, including design, construction documents and job administration. Our transparent office environment provides exposure to all aspects of the practice.
Qualifications:
•	Be a US citizen or be permitted to work in the USA
•	Professional degree in Architecture
•	Skill in Autocad and presentation software. Revit capability a plus.
•	USA experience in design, detailing and construction administration.
•	Verbal and writing abilities.
Work description:
•	Participate in the design and production of multiple projects at all design and project administration phases.
•	Attend site meetings and prepare minutes. Observe and document progress and quality of construction work.
•	Communicate with in-house staff, consultants and clients.
•	Demonstrate skill in the use of drafting and presentation software.

We offer competitive salaries, health coverage and profit sharing.
Interested candidates should email a cover letter, resume, work samples and requested compensation in PDF format.
    "
General Superintendent for Restaurant Construction Projects,https://newyork.craigslist.org/mnh/egr/d/new-york-general-superintendent-for/7064841613.html,"Manhattan, NY",Competitive salary based on experience,full-time,"
        
Mid-sized Manhattan based Construction Company is looking for an experienced construction superintendent. A minimum of 10 years of construction experience working in commercial/hospitality (experience in restaurant and commercial kitchen build out experience a plus).

The Superintendent reports to the Director of Operations and Project Executive.  Knowledge in schedules, coordinates, plans and supervises (directs) all field operations on a project is a requirement. The Superintendent is responsible to direct and supervise subcontractors to assure the requirements of the project are met with respect to safety, schedule, quality control, cost control and customer satisfaction. Overall, the Superintendent is expected to provide construction management and general contracting services that meets the highest level of quality.

Skills Should Include:
* Managing site activity
* Labor relations and union agreements
* Anticipating and resolving field related issues
* Establishing and enforcing site schedule requirements
* Managing site safety and insurance risks
* Ability to communicate both written and oral
* Leadership
* This position requires that OSHA/DOB requirements are already met such as OSHA 30 Hour card, SST card, and General Superintendent License    "
Mechanical Engineering Internship,https://newyork.craigslist.org/brk/egr/d/brooklyn-mechanical-engineering/7065203218.html,Sunset Park,$30/day as well as college credit,part-time,"
        
MYT Works is a Mechanical engineering, design, and manufacturing company based in Brooklyn, NY. We are looking for an intern to join us.

As a leading company in our field, our systems are designed and engineered for professionals in the Film Industry who are seeking the finest linear motion mechanical tools available. As such, we are looking for a Mechanical Engineer who is truly a dedicated individual. Our environment is a tough one, focused on excellence, dedication, and perseverance. Multi-tasking abilities are also a must as we tackle design, prototyping, machining and a variety of tasks at hand in a working environment where all of us depend on each other and the team. Collaboration is key. We have numerous projects on the pipeline and only hardworking people do make the cut in our shop. If you are looking for the 9 to 5 job in a corporate environment, we are definitely not the right fit for you. We do not commit nor promise that this position will lead to full employment. However, the internship program is how we consider potential employees and only if they do truly excel. If Mechanical Engineering is your call, then MYT Works internship program might be the right place for you to consider

Ideal candidate:

Someone who is curious, full of ideas, enterprising, organized, and creative.
Take directions and guidance
Advanced knowledge of SolidWorks and a keen understanding of mechanical engineering.
Completed at least a Bachelor's degree.
Has a high mechanical aptitude. This internship would be heavily based on mechanical assembly.
Good Technical writing skills.
Someone who is interested in learning the business side of a company
This is a great opportunity to sharpen your skills, apply what you've learned in school, and build your resume.

Interest in the business side of things is great!

In addition, due to the nature of our projects, we have a minimum commitment of 3 months. This internship is unpaid but would be a great opportunity to be involved in the design and development process. We offer a $30/day stipend in addition to an unlimited MetroCard.

This is quite an experience for anyone interested in the development and release of a new product from the ground up. Please reply to this listing directly with your cover letter, resume in PDF format and a portfolio, showcasing your design and engineering skills.

Please, no phone calls.

Candidates within 45 minutes of commuting distance to our office in Brooklyn will only be considered.

No Relocation is available.

Job Types: Full-time, Internship

Salary: $30.00 /day

Experience:

SolidWorks: 1 year (Required)
Mechanical Engineering: 1 year (Preferred)
Mechanical Design: 1 year (Preferred)
Education:

Bachelor's (Required)
Location:

Brooklyn, NY (Required)
Language:

English (Required)
Work authorization:

United States (Required)
Work Location:

One location
Internship Compensation:

Pay
College Credit
This Job Is Ideal for Someone Who Is:

Dependable -- more reliable than spontaneous
People-oriented -- enjoys interacting with people and working on group projects
Adaptable/flexible -- enjoys doing work that requires frequent shifts in direction
Detail-oriented -- would rather focus on the details of work than the bigger picture
Achievement-oriented -- enjoys taking on challenges, even if they might fail
Autonomous/Independent -- enjoys working with little direction
Innovative -- prefers working in unconventional ways or on tasks that require creativity
High stress tolerance -- thrives in a high-pressure environment    "
Entry Mechanical and Electrical Engineers,https://newyork.craigslist.org/que/egr/d/new-york-entry-mechanical-and/7065326758.html,New York,As Per Experience,full-time,"
        
NYC MEP Engineering office is looking for full time Entry Or Mid Level Engineers to join the fast developing company for the following positions:

- Mechanical Engineer
- Electrical Engineer

The ideal full time position candidate should possess the following skills and qualifications:

- 0-5 Years of Architectural/Engineering Experience.
- Basic knowledge of floor layout, elevations, sections and etc.
- Basic knowledge of AutoCAD 
- Perform Field Survey
- Knowledge of NYC Codes is a Plus
- Strong production and communication skills.
- Self-motivated and welling to take challenges.  
- Able to communicate English and Chinese with clients is a Plus.


Salary/Benefits:
-Competitive salary, Medical Insurance, commensurate with experience
-Vacation, personal  and sick time.

Please send your resume and put the position you are applying in the subject line.

Thank you.
    "
Electrical estimator,https://newyork.craigslist.org/que/egr/d/electrical-estimator/7064829261.html,Long Island City,please state your recomment,full-time,"
        
Estimator need for interior renovation

Must be experienced in electrical take off
Duties are to estimate the complete project
Must be able to read full set of blueprints
McCormick estimating is a plus

Excellent benefits

Compensation based on qualifactions    "
Lead Carpenter/ Foreman,https://newyork.craigslist.org/mnh/egr/d/new-york-lead-carpenter-foreman/7064831692.html,New York City,Competitive salary based on experience,full-time,"
        
Mid-sized General Contracting company in Manhattan looking to add an experienced Carpenter to our team. Are you a talented and dedicated craft worker with a focus on excellence in your craft and the service you deliver?

• Practice proper site safety, construction, progress, quality control and keep a clean site
• Exceed client expectations for each project by understanding client needs, wants, preferences and culture
• Demonstrate and maintain effective and open dialogue with the project team
• Maintain and review punch list process to ensure all are addressed and executed in a timely manner
• Leadership for running a crew of men

Qualifications

• 10+ years experience working as a carpenter in both hospitality/commercial and high end residential setting, including rough and finished carpentry
• Overall general construction knowledge
• Background in Rough and Finish Carpentry
• Thorough knowledge of methods, materials, tools and equipment used in both rough and finished carpentry in both residential and commercial settings
• Ability to work from blueprints, specifications, drawings and instruction to design, build, remodel, retrofit, maintain and repair various types of areas and structures
• Knowledge of applicable building and safety codes requirements
• Must have OSHA 30 Hour card/ 4 Hour DOB approved Scaffolding Card
• Emailing on smartphone and/or tablet capability a must
    "
Estimator for General Contracting Company (Midtown West),https://newyork.craigslist.org/mnh/egr/d/new-york-city-estimator-for-general/7064835554.html,Midtown West,BOE,full-time,"
        
Midsize Construction Company seeking a Construction Estimator to assist the estimating department for both commercial and high end residential projects. The estimator should have already gained 5+ years’ experience for evaluating bid specifications and drawings, ensuring that we have all necessary documents required to successfully bid the project. Estimators will also work with the Project Management teams to follow up on bids and budgets for trade buy-outs.

Requirements and responsibilities includes, but are not limited to:
-5-10  years’ experience for commercial and residential bids
-Must be able to utilize AutoCAD
-Ability to read and analyze plans and specifications in full detail
-Prepare bid packages and meet deadlines
-Prepare and maintain status of plan reproduction
-Maintain spreadsheet to log in competitive subcontractor bids
-Review bid requirements thoroughly
-Develops RFI's, RFP’s, and some scheduling
-Knowledge of MS Office and Adobe software
-Positive, thorough, and proactive communication a must as there will be constant interaction with Clients, architects, and subcontractors.

Please Send resume and project list (optional)    "
Licensed Marine Beachfront Engineer,https://newyork.craigslist.org/brk/egr/d/brooklyn-licensed-marine-beachfront/7064809954.html,"Brooklyn, NY",Compensation based on experience,contract,"
        
Looking for a licensed Marine Beachfront Engineer who has experience with bulkhead design and permitting.  For immediate hire.  Compensation commensurate with experience.    "
